Unique Identifier,File Name,Original Document Date,Content Type,Featured Location,People/Groups Depicted / Mentioned,Image Description,Physical Condition,Image Caption (s),Language,Miscellaneous Comments (part of larger piece or not)
TRK 1,FrontCover_TeikokuRenshuKantai_1936_Scrapbook.jpg,N/A,Commercially Produced Scrapbook Cover,N/A,N/A,N/A,Cover is wrinkled and creased from age,N/A,English,Cover of entire scrapbook
TRK 2,002_TeikokuRenshuKantai_1936_Scrapbook.jpg,1936,Cover of collection of compositions welcoming Japan's training fleet.,"Tacoma, Washington",Japan's training fleet / navy,N/A,"Minimal signs of age, slight wear on edges of pages",N/A,Japanese,Cover of collection of 24 pages
TRK 29,029_TeikokuRenshuKantai_1936_Scrapbook,1936,English map with Japanese descriptions/labels on either side,"Seattle, Washington",N/A,Simple hand-drawn map of Seattle with numeric labels along with some English label,"Slight signs of wear in creases and on edges, but overall in good condition","Seattle, Washington 1936",English / Japanese,Folds out of page
TRK 30,030_TeikokuRenshuKantai_1936_Scrapbook.jpg,N/A,Two post cards from Washington,"Puyallup Valley, Washington 
Mt. Rainier, Washington 
Sunrise Park, Washington",N/A,"Postcards with white boarders, prints of scenic paintings with a label of landscape and Mt. Rainier","No signs of significant wear, text is fading on the lower card","1. 6711 MOUNT RAINIER FROM PUYALLUP VALLEY, WASHINGTON 5A-H1390
2. 1648 --- MT. RAINIER, WASH., AS SEEN FROM SUNRISE RIDGE IN SUNRISE PARK",English,Pasted onto page with no visible tape / adhesive
TRK 31,031_TeikokuRenshuKantai_1936_Scrapbook.jpg,N/A,"Two post cards, one with labels and one without",Washington,N/A,"One postcard with white border and caption, the other with no border and no captions
1. Scenic view of Mt. Rainier and its reflection in the lake lined with trees
2. Sunset view of a river rapid with trees along the sides and rocks visible from the water",Minimal wear on edges,75 MOUNT RAINIER REFLECTED IN MIRROR LAKE 5A-H2658,English,Pasted onto page with white tape on corners
TRK 38,038_TeikokuRenshuKantai_1936_Scrapbook.jpg,1936,Cover of pamphlet describing the SF-Oakland Bay Bridge in detail,"San Francisco, CA",N/A," Drawing of grey bridge with blue water underneath and brown landmass in background, bubble letter title with orange highlights, 35c price in the top right corner","Signs of wear and use, especially in weak spine","SAN FRANCISCO OAKLAND BAY BRIDGE
A TECHNICAL DESCRIPTION IN ORDINARY LANGUAGE
$35c",English,Cover of collection of 64 pages
TRK 108,108_TeikokuRenshuKantai_1936_Scrapbook.jpg,N/A,Two post cards from San Francisco,"San Francisco, CA
Golden Gate Bridge
City Hall",Stanley A. Piltz - Postcard Copyrights,"1. Postcard with white border and caption, image is of San Francisco's City Hall 
2. Postcard with white border and caption, image is of the Golden Gate Bridge from afar, with trees and shrubbery in the front",Minimal stains and wear on edges,"1. THE CITY HALL, CIVIC CENTER, SAN FRANCISCO, CALIF.
22
STANLEY A. PILTZ
2A-H776
2. ""THE GOLDEN GATE"", SHOWING GOLDEN GATE BRIDGE, SAN FRANCISCO, CALIF.
87
STANLEY A. PILTZ.",English,Pasted onto page with white tape on corners
TRK 109,109_TeikokuRenshuKantai_1936_Scrapbook.jpg,N/A,"One post card from Berkeley, CA, and one postcard from San Francisco, CA","University of California, Berkeley, CA
Berkeley, CA 
The Legion of Honor, San Francisco, CA","Californians, Inc - Photo Credits
Unidentifiable people in Legion of Honor postcard","1. Postcard  with white border and caption depicting the campanile at the UC Berkeley Campus
2. Postcard with white border and caption depicting a busy day at the Legion of Honor fountain area, with an American Flag flying and the Pacific Ocean in the background, and lots of cars / people
",Minimal stains and wear on edges,"1. THE CAMPANILE , UNIVERSITY OF CALIFORNIA, BERKELEY, CALIF.
5A-H
2. THE GOLDEN GATE FROM PALACE OF THE LEGION OF HONOR, SAN FRANCISCO, CALIF. 
92
CALIFORNIANS, INC PHOTO",English,Pasted onto page with white tape on corners
TRK 110,110_TeikokuRenshuKantai_1936_Scrapbook.jpg,N/A,"Two post cards from California, one from San Francisco and one from the Redwood Highway","San Francisco, CA
Mile Rock Lighthouse
Trinidad 
Redwood Highway, CA",N/A,"1. Postcard with white border and caption, image is of waves breaking on rocks near Mile Rock Lighhouse, looking across the ocean towards Marin County",Stained edges,"1. GIANT BREAKERS, MILE ROCK LIGHTHOUSE, LOOKING ACROSS ""THE GOLDEN GATE"",
98
SAN FRANCISCO, CA
2A-H7
2. ALONG THE TRINIDAD COAST
REDWOOD HIGHWAY, CALIFORNIA
6A-H126",English,Pasted onto page with white tape on corners
TRK 111,111_TeikokuRenshuKantai_1936_Scrapbook.jpg,N/A,"Two post cards from California, one from San Francisco and one from Humboldt, CA","San Francisco, CA
Humboldt State Redwood Park, CA
Redwood Highway, CA","Unidentifiable man
Stanley A. Piltz - Postcard Copyrights","1. Postcard with white border and caption of ferries leaving the piers of San Francisco to travel across the Bay 
2. Postcard with white borders and caption of a man in a suit and tophat looking up at a fallen redwood tree log and stump",Small blemish on edge,"1. FERRY BOATS LEAVING FOR BAY CITIES, SAN FRANCISCO, CALIF.
STANLEY A. PILTZ
2A-H782
2. A  FALLEN GIANT, HUMBOLDT STATE REDWOOD PARK
6A
REDWOOD HIGHWAY, CALIFORNIA",English,Pasted onto page with white tape on corners
